42,000
68,000
68,000
68,000
68,000
68,000
23,000
65,000
65,000
28,000
26,000
26,000
43,000
43,000
43,000
43,000
31,000
33,000
32,000
32,000
45,000
45,000
32,000
32,000
45,000
34,000
46,000
46,000
25,000
31,000
30,000
30,000
38,000
38,000
38,000
38,000
38,000
38,000
38,000
38,000
38,000
38,000
38,000
38,000
28,000
28,000
58,000
58,000
39,000
39,000
37,000
37,000
37,000
37,000
37,000
37,000
37,000
37,000
37,000
37,000
37,000
37,000
37,000
37,000
48,000
31,000
31,000
28,000
28,000
28,000
28,000
24,000
24,000
41,000
41,000
41,000
41,000
41,000
41,000
54,000
54,000
65,000
49,000
53,000
53,000
89,000
86,000
89,000
86,000
57,000
58,000
67,000
70,000
79,000
79,000
125,000
96,000
75,000
85,000
23,000
23,000
23,000
23,000
37,000
